City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Ambanja,MG,73.4,light rain,-13.6833,48.45,Hotel Salama and Fast Food
627,Gasa,PS,76.91,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
631,Tual,ID,81.46,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
632,Bandundu,CD,84.63,few clouds,-3.3167,17.3667,Coja Color
633,Tete,MZ,78.89,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
634,Mazamari,PE,80.04,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
635,Bandarbeyla,SO,79.93,broken clouds,9.4942,50.8122,JABIR HOTEL
637,Broome,US,72.84,overcast clouds,42.2506,-75.833,Chenango Valley State Park
638,Along,IN,73.2,overcast clouds,28.1667,94.7667,Hotel West
639,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
640,Matamoros,MX,78.12,scattered clouds,25.5333,-103.25,Quinta Belem
642,Villa Maria,AR,73.81,clear sky,-32.4075,-63.2402,Hotel Milenium
645,Naze,JP,75.61,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
648,Alpena,US,80.92,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
650,Luanda,AO,80.6,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
653,Phan Thiet,VN,80.62,overcast clouds,10.9333,108.1,Hotel Saigon-PT
654,Florianopolis,BR,74.41,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
658,Bud,US,72.82,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
664,Faanui,PF,79.59,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
670,Pemba,MZ,77.02,scattered clouds,-12.974,40.5178,Guesthouse Samotina
675,Gumdag,TM,83.86,clear sky,39.2061,54.5906,
676,Swift Current,CA,83.21,clear sky,50.2834,-107.8014,"Motel 6 Swift Current, SK"
678,Warburton,PK,79.0,few clouds,31.55,73.8333,Javed Paul Hardware Store
680,Santiago,CL,71.04,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
681,Pafos,CY,73.31,few clouds,34.7667,32.4167,Elysium Hotel
685,Saurimo,AO,70.93,few clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
686,Calama,CL,70.29,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
687,Weligama,LK,79.39,broken clouds,5.9667,80.4167,Weligama Bay Resort
689,Jasper,US,77.85,clear sky,37.2001,-94.3502,Guest House Motel
691,Dawei,MM,81.36,broken clouds,14.0833,98.2,Hotel Dawei
693,Vicksburg,US,82.56,clear sky,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
